CookerStat, GenerateAssetRegistry=0.025943, Initialize=0.164479, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
SavePackageTransactionId432A094B074298526500CEB582035876_0, Filename=../../../../../../Keiran/Documents/Unreal Projects/Tank-Game/Tanks 4.11/Content/Battleground.umap, AutoPackageBackupDelegate=237.382416, FlushAsyncLoading=0.016309, FlushStreamingFunc=0.128694, BlockTillAllRequestsFinished=0.016928, ResetLoadersForSaveUnMarkAllObjects=1133.419189, TagPackageExports=10.008708, BeginCacheForCookedPlatformData=0.008658, SerializeImports=12.441028, GatherLocalizableTextData=78.389465, MarkNames=0.416089, SerializeSummary=0.586413, SerializeNames=0.419751, SerializeGatherableTextData=0.039630, BuildExportMap=0.770014, SortExportsNonSeekfree=5.422838, SortExportsSeekfreeConstructor=0.266612, SortExportsSeekfreeInner=26.566788, SortExportsSeekfree=0.012923, BuildDependencyMap=2.824519, SerializeImportMap=1.902685, SerializeExportMap=0.211596, SerializeDependencyMap=0.050019, SerializeStringAssetReferenceMap=0.016809, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.319459, SerializeExports=40.986816, SerializeBulkData=2521.671387, MoveFile=169.427261, UnaccountedTime=0.565592, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId9864A50655452D8E06C1868A4AC0CFD9_10, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_215C3E2C0A4E8888E0B10EA0B8BD9A49, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.292115, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId4BD04342B4497AABC9B657A5CD584269_11, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_6C41D3746AE75B1C9D2F933A16C16E87, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.286233, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId954C01CC0F435778ED030C830FC3BF91_12, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_7B630F7C0C41C9D9B6903BB712177B43, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.288650, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId9864A50655452D8E06C1868A4AC0CFD9_11, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_BFF20565B1DB7A688C64E79699F60D3D, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.341076, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId4BD04342B4497AABC9B657A5CD584269_12, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_72DD49ABCB491E516D94FC859BF4C7F1, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.290327, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId954C01CC0F435778ED030C830FC3BF91_13, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_AB436674C56806D7915BFC8130281A03, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.289552, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId9864A50655452D8E06C1868A4AC0CFD9_12, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_B88834D29E4A1B15ED8EEBB24C0F88BB, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.287380, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId4BD04342B4497AABC9B657A5CD584269_13, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_503207274ECEA47E88290F54B3872180, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.290625, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId954C01CC0F435778ED030C830FC3BF91_14, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_28203C0FE74949E58A80B5B8A2AAE16F, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.313852, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId9864A50655452D8E06C1868A4AC0CFD9_13, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_1B4CD2924FE29206CACD02934FED3A5B, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.301246, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId4BD04342B4497AABC9B657A5CD584269_14, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_4DDCCECE084532380672FCAEA8627392, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.295784, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId954C01CC0F435778ED030C830FC3BF91_15, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_BDE5881FD20DA784BB1152C4964746ED, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.306066, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId9864A50655452D8E06C1868A4AC0CFD9_14, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_F10A3195714EF965FD78C289EEE5C5E4, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.322022, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId4BD04342B4497AABC9B657A5CD584269_15, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_5C0AF000701E4FA423573550EA4E43F4, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.287488, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId954C01CC0F435778ED030C830FC3BF91_16, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_FAA1230E294129380F06FA87A9B23E8E, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.284486, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
